id,customer_code,site_code,site_zone_type,category_code,site_zone_code,site_zone_name,create_dt,create_user,update_dt,update_user
115,ESL,B092,門市分類,211AADAD2,9210,5-雜誌影音/413文具線,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
116,ESL,B092,門市分類,211AADAD3,9210,5-雜誌影音/413文具線,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
117,ESL,B092,門市分類,211AADAD4,9210,5-雜誌影音/413文具線,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
118,ESL,B092,門市分類,211AAEAE0,9210,5-雜誌影音/413文具線,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
119,ESL,B092,門市分類,211AAEAE1,9210,5-雜誌影音/413文具線,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
120,ESL,B092,門市分類,211AAEAE2,9210,5-雜誌影音/413文具線,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
121,ESL,B092,門市分類,211AAEAE3,9210,5-雜誌影音/413文具線,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
122,ESL,B092,門市分類,211AAEAE4,9210,5-雜誌影音/413文具線,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
123,ESL,B092,門市分類,211AAEAE5,9210,5-雜誌影音/413文具線,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
124,ESL,B092,門市分類,211AAFAF0,9210,5-雜誌影音/413文具線,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
125,ESL,B092,門市分類,211AAFAF1,9210,5-雜誌影音/413文具線,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
126,ESL,B092,門市分類,211AAFAF2,9210,5-雜誌影音/413文具線,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
127,ESL,B092,門市分類,211AAFAF3,9210,5-雜誌影音/413文具線,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
128,ESL,B092,門市分類,211AAFAF4,9210,5-雜誌影音/413文具線,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
129,ESL,B092,門市分類,211AAFAF5,9210,5-雜誌影音/413文具線,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
130,ESL,B092,門市分類,211AAGAG0,9210,5-雜誌影音/413文具線,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
131,ESL,B092,門市分類,211AAHAH0,9210,5-雜誌影音/413文具線,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
132,ESL,B092,門市分類,211AAHAH1,9210,5-雜誌影音/413文具線,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
133,ESL,B092,門市分類,211AAHAH2,9210,5-雜誌影音/413文具線,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
134,ESL,B092,門市分類,211AAIAI0,9210,5-雜誌影音/413文具線,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
135,ESL,B092,門市分類,211AAJAJ0,9210,5-雜誌影音/413文具線,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
136,ESL,B092,門市分類,211AAKAK0,9210,5-雜誌影音/413文具線,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
137,ESL,B092,門市分類,211AAKAK1,9210,5-雜誌影音/413文具線,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
138,ESL,B092,門市分類,211AALAL0,9210,5-雜誌影音/413文具線,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
139,ESL,B092,門市分類,211AALAL1,9210,5-雜誌影音/413文具線,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
140,ESL,B092,門市分類,211AAMAM0,9210,5-雜誌影音/413文具線,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
141,ESL,B092,門市分類,211AAMAM1,9210,5-雜誌影音/413文具線,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
142,ESL,B092,門市分類,211AAMAM2,9210,5-雜誌影音/413文具線,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
143,ESL,B092,門市分類,211AANAN0,9210,5-雜誌影音/413文具線,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
144,ESL,B092,門市分類,211AANAN1,9210,5-雜誌影音/413文具線,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
145,ESL,B092,門市分類,211AANAN2,9210,5-雜誌影音/413文具線,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
146,ESL,B092,門市分類,211AANAN3,9210,5-雜誌影音/413文具線,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
147,ESL,B092,門市分類,211AAOAO0,9210,5-雜誌影音/413文具線,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
148,ESL,B092,門市分類,211AAPAP0,9210,5-雜誌影音/413文具線,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
149,ESL,B092,門市分類,211AAPAP1,9210,5-雜誌影音/413文具線,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
150,ESL,B092,門市分類,211AAPAP2,9210,5-雜誌影音/413文具線,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
151,ESL,B092,門市分類,211AAPAP3,9210,5-雜誌影音/413文具線,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
152,ESL,B092,門市分類,211AAPAP4,9210,5-雜誌影音/413文具線,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
153,ESL,B092,門市分類,211AAQAQ0,9210,5-雜誌影音/413文具線,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
154,ESL,B092,門市分類,211AAQAQ1,9210,5-雜誌影音/413文具線,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
155,ESL,B092,門市分類,211AARAR0,9210,5-雜誌影音/413文具線,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
156,ESL,B092,門市分類,211AARAR1,9210,5-雜誌影音/413文具線,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
157,ESL,B092,門市分類,211BBABA0,9210,5-雜誌影音/413文具線,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
158,ESL,B092,門市分類,211BBBBB0,9210,5-雜誌影音/413文具線,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
